"time","Are.N","Ace.N","Are.S","Ace.S","S","RelPrice_N","RelLabor_N","Labor.re_N","Price.re_N","Agg.demand.re.tech_N","Profits.re_N","Yre_N","sre_N","Labor.ce_N","Price.ce_N","Agg.demand.ce.tech_N","Profits.ce_N","Yce_N","sce_N","Y_N","RelPrice_S","RelLabor_S","Labor.re_S","Price.re_S","Agg.demand.re.tech_S","Profits.re_S","Yre_S","sre_S","Labor.ce_S","Price.ce_S","Agg.demand.ce.tech_S","Profits.ce_S","Yce_S","sce_S","Y_S","Delta.Temp","Gamma.re.t_N","Gamma.re.t_S","Gamma.ce.t_N","Gamma.ce.t_S","L_N","L_S","Consumption_N","Consumption_S","Utility.Consumer_N","Utility.Consumer_S","CO2.Concentration","Cost.S.Damage","policy.status","Policy.Start.Time","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","dS.lag","Budget.function.N","Budget.function.S","Run.ID","Policy.Duration","Budget.N","Budget.S"
2012,238.025725335458,403.299345000739,35.7129374139705,74.0407809451342,915.9701,1.42374569860747,0.284749139721493,0.221637929863273,1.52769823915977,99.3003855453852,0.65865945732254,65,0.292469204771667,0.778362070136727,1.07301341851567,348.729361017591,1.54208123441979,325,0.707530795228333,448.029746562977,1.62986798886985,0.176067887720464,0.598835797010769,1.70593130109369,47.4618406423864,0.314814388980949,27.82166,0.293757396487023,3.40116420298923,1.04666838832548,269.565570740189,1.19201895381312,257.5463,0.706242603512977,317.027411382575,1.39019251009509,0.6,0.6,0.35,0.35,1,4,399.239307162268,70.6257815707532,0.99748381184043,0.985776281760361,382.2459,0.995459492724606,0,9.9,0,0,0,0,0,0,0,0,0,0,0,3003,45,271.744659361755,224.654049914884
2017,244.330036244909,413.440280639857,39.1656056716795,82.332572063375,893.988784567389,1.42249933267611,0.285637214652919,0.22217559619261,1.52665754144181,102.073838924468,0.677055773585995,66.8609928249313,0.288400052494861,0.77782440380739,1.07322197372827,357.354832242356,1.5802230681757,332.973831127348,0.711599947505139,459.428671166824,1.6450790817817,0.170347512827503,0.58221173099587,1.71949265664932,51.207027711363,0.339656214809471,29.7803119503559,0.270988788681686,3.41778826900413,1.04523404114229,300.603318835751,1.32926787589169,287.594267889741,0.729011211318314,351.810346547114,1.66959281201644,0.6,0.6,0.35,0.35,1,4,409.396888876757,78.3745499520333,0.992567902703016,0.982232502899532,404.227215432611,0.993207605445737,0,9.9,0,0,0,0,0,0,0,0,-4.52290291200167,0,0,3003,45,271.744659361755,224.654049914884
2022,251.025438505969,423.689110510873,42.4525473719034,90.8741828955203,870.010066574859,1.3459194085702,1.03311623355129,0.508144205679142,1.46376568220876,287.092652722675,5.71285669652851,166.712990870263,0.990699578500856,0.491855794320858,1.08755819470926,236.206485668545,1.04450507962631,217.18974379269,0.00930042149914412,465.64825258436,1.57822121529449,0.419629030107456,1.1823624938853,1.66025675142555,136.338675520325,1.41076171817305,69.801176289614,0.547245953287362,2.8176375061147,1.05197974487737,276.167438088353,1.2212124112267,262.521630699787,0.452754046712638,387.673366476568,1.95755847708125,0.6,0.6,0.35,0.35,1,4,408.660976413556,85.6878626761458,0.987608333681292,0.978387230589807,428.205933425141,0.990285088618978,1,9.9,0.27,2,0,0.15,0,0.18,0.56,0.15,-4.96679158814064,55.2775215172633,46.9766193078323,3003,45,271.744659361755,224.654049914884
2027,274.509183571003,423.782966806273,50.2129416622128,95.5361630107684,854.462931174484,1.26783074765285,1.27774300126502,0.560968906744696,1.40202986555101,324.998419518025,6.46714354998918,197.034787473484,0.99597463020855,0.439031093255304,1.10584939523403,216.200485008975,0.956038544709688,195.506265085239,0.00402536979144985,477.033672304346,1.45839166200922,0.555646664611089,1.42872202859767,1.55682863575197,177.025111491343,1.83176380065444,96.6524775509166,0.653456693689133,2.57127797140233,1.06749693947587,270.804009726145,1.19749533100901,253.681298476703,0.346543306310867,415.910072272047,2.13577349371087,0.6,0.6,0.35,0.35,1,4,418.097111601355,91.7853702428657,0.982734834086626,0.974257592633968,443.753068825516,0.988135163377012,1,9.9,0.27,2,0,0.15,0,0.18,0.56,0.15,-3.02564755940004,48.7538527362702,45.1954603183627,3003,45,271.744659361755,224.654049914884
2032,300.288581387449,423.822648142643,60.2557861368117,98.7359374645024,840.673459113069,1.19390734753405,1.58201390545186,0.612705416539964,1.34621737165706,365.464051410973,7.27236915902695,230.75355454443,0.99834791664557,0.387294583460036,1.12757273371138,196.360122138496,0.868304460096429,174.1440851378,0.0016520833544299,490.990665167235,1.3194942394047,0.793134617714493,1.76926954592046,1.4425827959202,234.780028683282,2.42938165119969,138.337310652241,0.788640269822637,2.23073045407954,1.09328464864767,251.613055241308,1.11263293027706,230.144140002823,0.211359730177363,444.703588613464,2.28869135831287,0.6,0.6,0.35,0.35,1,4,429.808012667697,97.933845443519,0.977895658998384,0.970058104702529,457.542540886931,0.986061542820156,1,9.9,0.27,2,0,0.15,0,0.18,0.56,0.15,-2.62930008471773,42.1991315915777,40.5831324539505,3003,45,271.744659361755,224.654049914884
2037,328.536232625451,423.838607146105,72.9093295149274,100.434114217835,829.343496621911,1.12414361213316,1.95967439711747,0.662124995582645,1.29628335556017,408.391801869785,8.12658846540685,267.79101197308,0.999353495518578,0.337875004417355,1.15312967272959,177.138116464614,0.783304751006523,153.615088271302,0.000646504481422006,507.91960877469,1.17463788948186,1.1992642942504,2.18120995714007,1.33214243235985,310.972491625778,3.2177816376479,198.422189295228,0.904057205003066,1.81879004285993,1.13408774251907,220.407310673022,0.974641127796103,194.347670298813,0.0959427949969341,477.306885414456,2.41092436040938,0.6,0.6,0.35,0.35,1,4,444.155400668074,104.859906236029,0.973091031833068,0.965871973295067,468.872503378089,0.984240382782714,1,9.9,0.27,2,0,0.15,0,0.18,0.56,0.15,-2.10112920661539,35.7384857182983,33.4384791697428,3003,45,271.744659361755,224.654049914884
2042,359.462538056012,423.844732818345,87.7626376354162,101.125264531163,820.843860023855,1.0583976300597,2.42796972059188,0.708282137385001,1.25201582648791,453.827814003672,9.03071967085907,308.106042864663,0.999758441259475,0.291717862614999,1.18293521350505,158.879099121996,0.702563376317465,134.309214323948,0.000241558740524672,528.214498970793,1.04218963079179,1.83506665037966,2.58909842579386,1.24155901267677,399.993483525222,4.13892457090756,273.844785084697,0.965096215071091,1.41090157420614,1.19129856601386,185.276355453409,0.819292043814975,155.524702823536,0.0349037849289087,517.368185185116,2.50069876966505,0.6,0.6,0.35,0.35,1,4,461.490716131408,113.408074930086,0.968320406517014,0.961753119119987,477.372139976145,0.982804354087072,1,9.9,0.27,2,0,0.15,0,0.18,0.56,0.15,-1.52868684811362,29.4635996406161,25.3300826335444,3003,45,271.744659361755,224.654049914884
2047,393.309311650252,423.846976597681,104.22336036837,101.364733777,815.067796365421,0.996474988520021,3.0084060678998,0.750524277465744,1.2131102821745,501.958906713814,9.98848028469818,351.71169264343,0.999914022010657,0.249475722534256,1.21740163692039,141.824295350062,0.627147034037976,116.497539553856,8.59779893426227e-05,552.265967724754,0.930284660400698,2.74821418820327,2.93282512707273,1.17483757766619,495.496565067265,5.12714079710222,358.493878910335,0.988450038704596,1.06717487292727,1.26287966218873,153.253004119934,0.677684784218346,121.352024827391,0.0115499612954042,566.579341879596,2.56079878597179,0.6,0.6,0.35,0.35,1,4,482.157977019998,123.982628448778,0.963582456707127,0.957689512242393,483.148203634579,0.981794142239143,1,9.9,0.27,2,0,0.15,0,0.18,0.56,0.15,-1.00169114692778,23.4340741468813,17.6510922702032,3003,45,271.744659361755,224.654049914884
2052,430.346894477079,423.847757987711,122.012742891349,101.442676232421,811.649696458037,0.938167449847475,3.72771235595348,0.788481209365302,1.1792055399786,553.101612288539,11.0061689829296,398.689078796042,0.999971008229732,0.211518790634698,1.25692437972594,126.119272506209,0.557699423022454,100.339586486267,2.89917702684939e-05,580.462865017027,0.837499652879325,3.99295991421715,3.19887199802862,1.12753237716177,595.047245711675,6.15723947405665,448.581494509367,0.996305109405537,0.801128001971384,1.34630787402157,126.670482479433,0.560136873524055,94.0873071632976,0.00369489059446348,625.043773294213,2.59602667420003,0.6,0.6,0.35,0.35,1,4,506.49571066288,136.61217817355,0.958875289878338,0.953640652346746,486.566303541962,0.981183180885268,1,9.9,0.27,2,0,0.15,0,0.18,0.56,0.15,-0.554852984182503,17.6798427513233,10.8702989943467,3003,45,271.744659361755,224.654049914884
2057,470.873770792486,423.84801499581,141.102745487143,101.467349194677,810.186090442903,0.883269092334321,4.61905252961315,0.822034053832053,1.14990309633416,607.68478793185,12.0923195950559,449.196172606851,0.999990814022199,0.177965946167947,1.30187176967234,111.826411678703,0.494496392443223,85.896640732019,9.18597780130703e-06,613.194631032501,0.759902923647841,5.64200813298559,3.39777249290991,1.0940851045688,698.811235700501,7.23093528518622,542.909822887617,0.998848327789266,0.602227507090088,1.43976956861378,105.279811078738,0.465547324590179,73.1226811385536,0.00115167221073398,692.473736683302,2.61103539725599,0.6,0.6,0.35,0.35,1,4,534.839861394912,151.227055422261,0.954196720012347,0.94957425759281,488.029909557097,0.980918572402327,1,9.9,0.27,2,0,0.15,0,0.18,0.56,0.15,-0.187062651658684,12.205053745679,4.93956410022034,3003,45,271.744659361755,224.654049914884
